Features,MAE,RMSE,R2
"('GrLivArea', 'HouseAge', 'OverallQual', 'MSSubClassMapped', 'Neighborhood')",23296.693385273265,31616.737039813874,0.801597758932584
"('GrLivArea', 'HouseAge', 'OverallQual', 'MSSubClassMapped')",23473.877727882962,31774.26688113302,0.7996157621534785
"('GrLivArea', 'HouseAge', 'OverallQual', 'Neighborhood')",24681.45792963242,32978.78673692429,0.7841352011099896
"('GrLivArea', 'HouseAge', 'OverallQual')",24857.33751178736,33146.2946602703,0.7819367639649952
"('GrLivArea', 'OverallQual', 'MSSubClassMapped', 'Neighborhood')",26201.437812341188,36211.85379779738,0.7397360626297979
"('GrLivArea', 'OverallQual', 'MSSubClassMapped')",26447.723542269145,36370.76260933634,0.7374468133931951
"('GrLivArea', 'OverallQual', 'Neighborhood')",26648.047560705425,36517.103789407,0.7353297480170053
"('GrLivArea', 'OverallQual')",26876.900067394665,36680.20377625591,0.7329602218352878
"('GrLivArea', 'HouseAge', 'MSSubClassMapped', 'Neighborhood')",27484.11096648617,37299.88812386194,0.7238611336898737
"('GrLivArea', 'HouseAge', 'MSSubClassMapped')",27634.91192250115,37549.624287848485,0.7201510569625772
"('GrLivArea', 'HouseAge', 'Neighborhood')",28194.405134204928,38956.96298786792,0.6987807904018595
"('GrLivArea', 'HouseAge')",28549.957170302703,39241.89970849432,0.6943583566325788
"('HouseAge', 'OverallQual', 'MSSubClassMapped', 'Neighborhood')",30239.012339089193,41034.233907670045,0.6658010057431981
"('HouseAge', 'OverallQual', 'Neighborhood')",30319.581621653753,41084.16822933857,0.6649871412083599
"('HouseAge', 'OverallQual', 'MSSubClassMapped')",30531.93996838711,41320.37279869346,0.661123899166176
"('HouseAge', 'OverallQual')",30601.038558390337,41368.49929773894,0.66033405063054
"('OverallQual', 'MSSubClassMapped', 'Neighborhood')",31326.544282549028,42437.54344893604,0.6425519339740353
"('OverallQual', 'Neighborhood')",31317.24407398409,42438.241403637316,0.6425401762430527
"('OverallQual', 'MSSubClassMapped')",31648.456872757113,42707.134368017025,0.6379960228337236
"('OverallQual',)",31645.485633194825,42707.795962980694,0.6379848068218433
"('GrLivArea', 'MSSubClassMapped', 'Neighborhood')",34658.324237305365,48387.51205724772,0.5352931607280318
"('GrLivArea', 'Neighborhood')",34589.46288956865,48461.79989622201,0.5338651655406874
"('GrLivArea', 'MSSubClassMapped')",34882.214957701464,48772.82236283408,0.5278627622466099
"('GrLivArea',)",34626.9839907459,48859.62435511467,0.5261807221457664
"('HouseAge', 'Neighborhood')",43026.08821781667,60468.373305084795,0.27428006963455953
"('HouseAge', 'MSSubClassMapped', 'Neighborhood')",43088.29349067734,60529.116411254465,0.2728213029519835
"('HouseAge',)",43424.2498435997,61378.69725136574,0.25226482384213267
"('HouseAge', 'MSSubClassMapped')",43479.212532004305,61428.511999045724,0.251050612525363
"('MSSubClassMapped', 'Neighborhood')",53715.202501578664,68920.74541545287,0.05721554958023822
"('Neighborhood',)",54686.67027600044,69862.9082375124,0.031263195452183035
"('MSSubClassMapped',)",53207.93983001631,70019.1176710629,0.02692627306428974
